Date : 2025-09-09 11:59:03
Directory : f:\Project\levilamina\1.4.x\CFSP
Total : 65 files,  4805 codes, 78 comments, 574 blanks, all 5457 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| C++      |         51 |      4,015 |         64 |        365 |      4,444 |
| JSON     |          4 |        251 |          0 |          0 |        251 |
| Markdown |          4 |        201 |          0 |        140 |        341 |
| YAML     |          4 |        174 |         10 |         42 |        226 |
| Lua      |          1 |        105 |          1 |         19 |        125 |
| XMake    |          1 |         59 |          3 |          8 |         70 |
+----------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                            | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                               |         65 |      4,805 |         78 |        574 |      5,457 |
| . (Files)                                                                       |          6 |        283 |          3 |        139 |        425 |
| .github                                                                         |          5 |        184 |         10 |         51 |        245 |
| .github (Files)                                                                 |          1 |         10 |          0 |          9 |         19 |
| .github\ISSUE_TEMPLATE                                                          |          2 |         72 |          0 |         13 |         85 |
| .github\workflows                                                               |          2 |        102 |         10 |         29 |        141 |
| scripts                                                                         |          1 |        105 |          1 |         19 |        125 |
| src                                                                             |         53 |      4,233 |         64 |        365 |      4,662 |
| src\cfsp                                                                        |         51 |      4,015 |         64 |        365 |      4,444 |
| src\cfsp (Files)                                                                |          5 |        105 |          9 |         34 |        148 |
| src\cfsp\base                                                                   |          5 |        112 |          0 |         27 |        139 |
| src\cfsp\core                                                                   |         33 |      2,236 |         34 |        193 |      2,463 |
| src\cfsp\core\fix                                                               |          2 |        133 |         10 |         12 |        155 |
| src\cfsp\core\group                                                             |          4 |         46 |          0 |          8 |         54 |
| src\cfsp\core\helper                                                            |          7 |        314 |          0 |         24 |        338 |
| src\cfsp\core\manager                                                           |          9 |      1,024 |         19 |         81 |      1,124 |
| src\cfsp\core\simPlayer                                                         |         11 |        719 |          5 |         68 |        792 |
| src\cfsp\entrance                                                               |          8 |      1,562 |         21 |        111 |      1,694 |
| src\cfsp\entrance\command                                                       |          4 |        608 |         21 |         39 |        668 |
| src\cfsp\entrance\gui                                                           |          4 |        954 |          0 |         72 |      1,026 |
| src\lang                                                                        |          2 |        218 |          0 |          0 |        218 |
