Date : 2025-09-16 20:51:13
Directory : f:\Project\levilamina\1.4.x\CFSP
Total : 62 files,  6677 codes, 92 comments, 668 blanks, all 7437 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| C++      |         48 |      5,831 |         78 |        459 |      6,368 |
| JSON     |          4 |        307 |          0 |          0 |        307 |
| Markdown |          4 |        201 |          0 |        140 |        341 |
| YAML     |          4 |        174 |         10 |         42 |        226 |
| Lua      |          1 |        105 |          1 |         19 |        125 |
| XMake    |          1 |         59 |          3 |          8 |         70 |
+----------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                             | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                |         62 |      6,677 |         92 |        668 |      7,437 |
| . (Files)                                                                        |          6 |        283 |          3 |        139 |        425 |
| .github                                                                          |          5 |        184 |         10 |         51 |        245 |
| .github (Files)                                                                  |          1 |         10 |          0 |          9 |         19 |
| .github\ISSUE_TEMPLATE                                                           |          2 |         72 |          0 |         13 |         85 |
| .github\workflows                                                                |          2 |        102 |         10 |         29 |        141 |
| scripts                                                                          |          1 |        105 |          1 |         19 |        125 |
| src                                                                              |         50 |      6,105 |         78 |        459 |      6,642 |
| src\cfsp                                                                         |         48 |      5,831 |         78 |        459 |      6,368 |
| src\cfsp (Files)                                                                 |          5 |        136 |          9 |         34 |        179 |
| src\cfsp\base                                                                    |          5 |        121 |          0 |         28 |        149 |
| src\cfsp\core                                                                    |         29 |      2,593 |         33 |        216 |      2,842 |
| src\cfsp\core\fix                                                                |          2 |        133 |         10 |         12 |        155 |
| src\cfsp\core\group                                                              |          4 |         91 |          0 |         10 |        101 |
| src\cfsp\core\helper                                                             |          7 |        314 |          0 |         24 |        338 |
| src\cfsp\core\manager                                                            |          5 |      1,278 |         18 |        103 |      1,399 |
| src\cfsp\core\simPlayer                                                          |         11 |        777 |          5 |         67 |        849 |
| src\cfsp\entrance                                                                |          9 |      2,981 |         36 |        181 |      3,198 |
| src\cfsp\entrance\command                                                        |          5 |      1,263 |         36 |         58 |      1,357 |
| src\cfsp\entrance\gui                                                            |          4 |      1,718 |          0 |        123 |      1,841 |
| src\lang                                                                         |          2 |        274 |          0 |          0 |        274 |
+----------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+----------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| filename                                                                         | language | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| f:\Project\levilamina\1.4.x\CFSP\.github\ISSUE_TEMPLATE\bug_report.yml           | YAML     |         47 |          0 |          9 |         56 |
| f:\Project\levilamina\1.4.x\CFSP\.github\ISSUE_TEMPLATE\feature_request.yml      | YAML     |         25 |          0 |          4 |         29 |
