Date : 2025-09-13 22:56:00
Directory : f:\Project\levilamina\1.4.x\CFSP
Total : 66 files,  5327 codes, 87 comments, 592 blanks, all 6006 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| C++      |         52 |      4,526 |         73 |        383 |      4,982 |
| JSON     |          4 |        262 |          0 |          0 |        262 |
| Markdown |          4 |        201 |          0 |        140 |        341 |
| YAML     |          4 |        174 |         10 |         42 |        226 |
| Lua      |          1 |        105 |          1 |         19 |        125 |
| XMake    |          1 |         59 |          3 |          8 |         70 |
+----------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                            | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                               |         66 |      5,327 |         87 |        592 |      6,006 |
| . (Files)                                                                       |          6 |        283 |          3 |        139 |        425 |
| .github                                                                         |          5 |        184 |         10 |         51 |        245 |
| .github (Files)                                                                 |          1 |         10 |          0 |          9 |         19 |
| .github\ISSUE_TEMPLATE                                                          |          2 |         72 |          0 |         13 |         85 |
| .github\workflows                                                               |          2 |        102 |         10 |         29 |        141 |
| scripts                                                                         |          1 |        105 |          1 |         19 |        125 |
| src                                                                             |         54 |      4,755 |         73 |        383 |      5,211 |
| src\cfsp                                                                        |         52 |      4,526 |         73 |        383 |      4,982 |
| src\cfsp (Files)                                                                |          5 |        115 |          9 |         34 |        158 |
| src\cfsp\base                                                                   |          5 |        121 |          2 |         28 |        151 |
| src\cfsp\core                                                                   |         33 |      2,475 |         35 |        204 |      2,714 |
| src\cfsp\core\fix                                                               |          2 |        133 |         10 |         12 |        155 |
| src\cfsp\core\group                                                             |          4 |         67 |          0 |          9 |         76 |
| src\cfsp\core\helper                                                            |          7 |        314 |          0 |         24 |        338 |
| src\cfsp\core\manager                                                           |          9 |      1,184 |         20 |         92 |      1,296 |
| src\cfsp\core\simPlayer                                                         |         11 |        777 |          5 |         67 |        849 |
| src\cfsp\entrance                                                               |          9 |      1,815 |         27 |        117 |      1,959 |
| src\cfsp\entrance\command                                                       |          5 |        824 |         27 |         45 |        896 |
| src\cfsp\entrance\gui                                                           |          4 |        991 |          0 |         72 |      1,063 |
| src\lang                                                                        |          2 |        229 |          0 |          0 |        229 |
+---------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+---------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| filename                                                                        | language | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| f:\Project\levilamina\1.4.x\CFSP\.github\ISSUE_TEMPLATE\bug_report.yml          | YAML     |         47 |          0 |          9 |         56 |
| f:\Project\levilamina\1.4.x\CFSP\.github\ISSUE_TEMPLATE\feature_request.yml     | YAML     |         25 |          0 |          4 |         29 |
| f:\Project\levilamina\1.4.x\CFSP\.github\PULL_REQUEST_TEMPLATE.md               | Markdown |         10 |          0 |          9 |         19 |
| f:\Project\levilamina\1.4.x\CFSP\.github\workflows\build.yml                    | YAML     |         34 |         10 |         12 |         56 |
| f:\Project\levilamina\1.4.x\CFSP\.github\workflows\release.yml                  | YAML     |         68 |          0 |         17 |         85 |
| f:\Project\levilamina\1.4.x\CFSP\CHANGELOG.md                                   | Markdown |         87 |          0 |         58 |        145 |
| f:\Project\levilamina\1.4.x\CFSP\CHANGELOG_ZH.md                                | Markdown |         90 |          0 |         61 |        151 |
| f:\Project\levilamina\1.4.x\CFSP\README.md                                      | Markdown |         14 |          0 |         12 |         26 |
| f:\Project\levilamina\1.4.x\CFSP\manifest.json                                  | JSON     |          7 |          0 |          0 |          7 |
| f:\Project\levilamina\1.4.x\CFSP\scripts\after_build.lua                        | Lua      |        105 |          1 |         19 |        125 |
| f:\Project\levilamina\1.4.x\CFSP\src\cfsp\CFSP.cpp                              | C++      |         21 |          1 |          8 |         30 |
| f:\Project\levilamina\1.4.x\CFSP\src\cfsp\CFSP.h                                | C++      |         15 |          6 |         14 |         35 |
| f:\Project\levilamina\1.4.x\CFSP\src\cfsp\Config.h                              | C++      |         28 |          0 |          6 |         34 |
| f:\Project\levilamina\1.4.x\CFSP\src\cfsp\MemoryOperators.cpp                   | C++      |          2 |          2 |          3 |          7 |
| f:\Project\levilamina\1.4.x\CFSP\src\cfsp\PermissionConfig.h                    | C++      |         49 |          0 |          3 |         52 |
| f:\Project\levilamina\1.4.x\CFSP\src\cfsp\base\Macros.h                         | C++      |          6 |          0 |          2 |          8 |
| f:\Project\levilamina\1.4.x\CFSP\src\cfsp\base\OperateResult.h                  | C++      |         44 |          2 |          9 |         55 |
| f:\Project\levilamina\1.4.x\CFSP\src\cfsp\base\Schedule.h                       | C++      |         17 |          0 |          5 |         22 |
| f:\Project\levilamina\1.4.x\CFSP\src\cfsp\base\Utils.cpp                        | C++      |         45 |          0 |          6 |         51 |
| f:\Project\levilamina\1.4.x\CFSP\src\cfsp\base\Utils.h                          | C++      |          9 |          0 |          6 |         15 |
| f:\Project\levilamina\1.4.x\CFSP\src\cfsp\core\fix\CFSPFixManager.cpp           | C++      |        122 |         10 |         11 |        143 |
| f:\Project\levilamina\1.4.x\CFSP\src\cfsp\core\fix\CFSPFixManager.h             | C++      |         11 |          0 |          1 |         12 |
| f:\Project\levilamina\1.4.x\CFSP\src\cfsp\core\group\CFSPGroup.cpp              | C++      |         23 |          0 |          3 |         26 |
| f:\Project\levilamina\1.4.x\CFSP\src\cfsp\core\group\CFSPGroup.h                | C++      |         14 |          0 |          4 |         18 |
| f:\Project\levilamina\1.4.x\CFSP\src\cfsp\core\group\GroupData.h                | C++      |         14 |          0 |          2 |         16 |
| f:\Project\levilamina\1.4.x\CFSP\src\cfsp\core\group\GroupPermission.h          | C++      |         16 |          0 |          0 |         16 |
| f:\Project\levilamina\1.4.x\CFSP\src\cfsp\core\helper\CFSPAutoFuncHelper.cpp    | C++      |         73 |          0 |          3 |         76 |
| f:\Project\levilamina\1.4.x\CFSP\src\cfsp\core\helper\CFSPHelperManager.cpp     | C++      |         13 |          0 |          2 |         15 |
| f:\Project\levilamina\1.4.x\CFSP\src\cfsp\core\helper\CFSPHelperManager.h       | C++      |         18 |          0 |          5 |         23 |
| f:\Project\levilamina\1.4.x\CFSP\src\cfsp\core\helper\CFSPOperateHelper.cpp     | C++      |         46 |          0 |          3 |         49 |
| f:\Project\levilamina\1.4.x\CFSP\src\cfsp\core\helper\CFSPSaveHelper.cpp        | C++      |        153 |          0 |          7 |        160 |
| f:\Project\levilamina\1.4.x\CFSP\src\cfsp\core\helper\CFSPSchduleHelper.cpp     | C++      |         11 |          0 |          3 |         14 |
| f:\Project\levilamina\1.4.x\CFSP\src\cfsp\core\helper\CacheUUidName.cpp         | C++      |          0 |          0 |          1 |          1 |
| f:\Project\levilamina\1.4.x\CFSP\src\cfsp\core\manager\CFSPManager.cpp          | C++      |        281 |          5 |         30 |        316 |
| f:\Project\levilamina\1.4.x\CFSP\src\cfsp\core\manager\CFSPManager.h            | C++      |        159 |          0 |         14 |        173 |
| f:\Project\levilamina\1.4.x\CFSP\src\cfsp\core\manager\CFSPManagerGroup.cpp     | C++      |        138 |          1 |         10 |        149 |
