Date : 2025-09-10 22:04:00
Directory : f:\Project\levilamina\1.4.x\CFSP
Total : 66 files,  4862 codes, 79 comments, 581 blanks, all 5522 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| C++      |         52 |      4,070 |         65 |        372 |      4,507 |
| JSON     |          4 |        253 |          0 |          0 |        253 |
| Markdown |          4 |        201 |          0 |        140 |        341 |
| YAML     |          4 |        174 |         10 |         42 |        226 |
| Lua      |          1 |        105 |          1 |         19 |        125 |
| XMake    |          1 |         59 |          3 |          8 |         70 |
+----------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                            | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                               |         66 |      4,862 |         79 |        581 |      5,522 |
| . (Files)                                                                       |          6 |        283 |          3 |        139 |        425 |
| .github                                                                         |          5 |        184 |         10 |         51 |        245 |
| .github (Files)                                                                 |          1 |         10 |          0 |          9 |         19 |
| .github\ISSUE_TEMPLATE                                                          |          2 |         72 |          0 |         13 |         85 |
| .github\workflows                                                               |          2 |        102 |         10 |         29 |        141 |
| scripts                                                                         |          1 |        105 |          1 |         19 |        125 |
| src                                                                             |         54 |      4,290 |         65 |        372 |      4,727 |
| src\cfsp                                                                        |         52 |      4,070 |         65 |        372 |      4,507 |
| src\cfsp (Files)                                                                |          5 |        105 |          9 |         34 |        148 |
| src\cfsp\base                                                                   |          5 |        112 |          0 |         27 |        139 |
| src\cfsp\core                                                                   |         33 |      2,286 |         33 |        199 |      2,518 |
| src\cfsp\core\fix                                                               |          2 |        133 |         10 |         12 |        155 |
| src\cfsp\core\group                                                             |          4 |         47 |          0 |          8 |         55 |
| src\cfsp\core\helper                                                            |          7 |        314 |          0 |         24 |        338 |
| src\cfsp\core\manager                                                           |          9 |      1,046 |         18 |         86 |      1,150 |
| src\cfsp\core\simPlayer                                                         |         11 |        746 |          5 |         69 |        820 |
| src\cfsp\entrance                                                               |          9 |      1,567 |         23 |        112 |      1,702 |
| src\cfsp\entrance\command                                                       |          5 |        626 |         23 |         41 |        690 |
| src\cfsp\entrance\gui                                                           |          4 |        941 |          0 |         71 |      1,012 |
| src\lang                                                                        |          2 |        220 |          0 |          0 |        220 |
+---------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+---------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| filename                                                                        | language | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| f:\Project\levilamina\1.4.x\CFSP\.github\ISSUE_TEMPLATE\bug_report.yml          | YAML     |         47 |          0 |          9 |         56 |
| f:\Project\levilamina\1.4.x\CFSP\.github\ISSUE_TEMPLATE\feature_request.yml     | YAML     |         25 |          0 |          4 |         29 |
| f:\Project\levilamina\1.4.x\CFSP\.github\PULL_REQUEST_TEMPLATE.md               | Markdown |         10 |          0 |          9 |         19 |
| f:\Project\levilamina\1.4.x\CFSP\.github\workflows\build.yml                    | YAML     |         34 |         10 |         12 |         56 |
