Date : 2025-09-16 17:49:59
Directory : f:\Project\levilamina\1.4.x\CFSP
Total : 61 files,  6495 codes, 91 comments, 664 blanks, all 7250 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| C++      |         47 |      5,652 |         77 |        455 |      6,184 |
| JSON     |          4 |        304 |          0 |          0 |        304 |
| Markdown |          4 |        201 |          0 |        140 |        341 |
| YAML     |          4 |        174 |         10 |         42 |        226 |
| Lua      |          1 |        105 |          1 |         19 |        125 |
| XMake    |          1 |         59 |          3 |          8 |         70 |
+----------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                           | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                              |         61 |      6,495 |         91 |        664 |      7,250 |
| . (Files)                                                                      |          6 |        283 |          3 |        139 |        425 |
| .github                                                                        |          5 |        184 |         10 |         51 |        245 |
| .github (Files)                                                                |          1 |         10 |          0 |          9 |         19 |
| .github\ISSUE_TEMPLATE                                                         |          2 |         72 |          0 |         13 |         85 |
| .github\workflows                                                              |          2 |        102 |         10 |         29 |        141 |
| scripts                                                                        |          1 |        105 |          1 |         19 |        125 |
| src                                                                            |         49 |      5,923 |         77 |        455 |      6,455 |
| src\cfsp                                                                       |         47 |      5,652 |         77 |        455 |      6,184 |
| src\cfsp (Files)                                                               |          5 |        132 |          9 |         34 |        175 |
| src\cfsp\base                                                                  |          5 |        121 |          0 |         28 |        149 |
| src\cfsp\core                                                                  |         28 |      2,497 |         33 |        213 |      2,743 |
| src\cfsp\core\fix                                                              |          2 |        133 |         10 |         12 |        155 |
| src\cfsp\core\group                                                            |          4 |         91 |          0 |         10 |        101 |
| src\cfsp\core\helper                                                           |          7 |        314 |          0 |         24 |        338 |
| src\cfsp\core\manager                                                          |          4 |      1,183 |         18 |        100 |      1,301 |
| src\cfsp\core\simPlayer                                                        |         11 |        776 |          5 |         67 |        848 |
| src\cfsp\entrance                                                              |          9 |      2,902 |         35 |        180 |      3,117 |
| src\cfsp\entrance\command                                                      |          5 |      1,186 |         35 |         57 |      1,278 |
| src\cfsp\entrance\gui                                                          |          4 |      1,716 |          0 |        123 |      1,839 |
| src\lang                                                                       |          2 |        271 |          0 |          0 |        271 |
